GlaThiDa_ID,NAME,RGI_ID,GTD_AREA,MEAN_THICKNESS,MAXIMUM_THICKNESS,GTD_LON,GTD_LAT
1,Isfallsglac,RGI50-08.02634,1.3,72.0,220.0,18.568,67.915
3,Storglaciaeren,RGI50-08.02637,3.1,99.0,250.0,18.57,67.9
8,Grinnell,RGI50-02.13926,1.0,64.0,,-113.73,48.75
10,Carbon,RGI50-02.00645,7.9,90.0,215.0,-121.78,46.93
13,Collier,RGI50-02.00331,1.1,19.0,91.0,-121.7836,44.1652
14,Diller,RGI50-02.00324,0.7,20.0,59.0,-121.7739,44.1432
15,Eliot,RGI50-02.13914,1.7,54.0,110.0,-121.6803,45.3808
16,Emmons,RGI50-02.00651,11.0,60.0,185.0,-121.72,46.85
17,Hayden,RGI50-02.00325,0.7,26.0,65.0,-121.7762,44.1524
18,Ladd,RGI50-02.13918,0.9,33.0,76.0,-121.7048,45.3916
22,Nisqually,RGI50-02.00644,4.6,48.0,133.0,-121.74,46.82
24,Prouty,RGI50-02.00312,1.0,17.0,38.0,-121.7598,44.1057
26,Russell,RGI50-02.00654,3.3,26.0,73.0,-121.7889,46.8978
27,Sandy,RGI50-02.00523,1.2,21.0,61.0,-121.7167,45.3797
28,Tahoma North-L.,RGI50-02.13922,8.7,52.0,146.0,-121.82,46.83
30,Wilson,RGI50-02.00658,1.4,38.0,88.0,-121.7525,46.8219
31,Winthrop,RGI50-02.13923,9.2,57.0,98.0,-121.7419,46.8761
39,Suyok Zapadniy,RGI50-13.06974,1.18,34.0,,77.78,41.78
44,Ts.Tuyuksuyskiy,RGI50-13.08624,2.72,104.0,,77.08,43.05
51,252,RGI50-13.05579,2.0,43.0,,79.285,44.883
52,Kaskabulakskii,RGI50-13.05578,2.8,52.0,,79.317,44.883
58,Mgg,RGI50-13.05624,2.0,37.0,,79.53,44.97
66,Ashar,RGI50-13.05710,1.7,51.0,,79.82,45.0
71,305,RGI50-13.05393,1.0,47.0,,79.5927,44.7016
74,Juytas,RGI50-13.05376,2.1,54.0,,79.7254,44.685
76,Keregetas,RGI50-13.05381,1.7,25.0,,79.7391,44.6667
80,93,RGI50-13.05203,0.8,40.0,,80.29,44.582
82,Khorgosskiy,RGI50-13.05200,2.5,42.0,,80.2417,44.5846
84,Majak Vostochniy,RGI50-13.05217,1.4,59.0,,80.172,44.5723
85,125,RGI50-13.05218,1.9,36.0,,80.1887,44.5804
87,Sagrir,RGI50-13.05285,1.5,33.0,,80.1179,44.59
88,168,RGI50-13.05266,1.3,35.0,,80.1304,44.6254
89,163,RGI50-13.05282,0.8,29.0,,80.1082,44.5927
90,162,RGI50-13.05283,1.4,30.0,,80.0912,44.5901
91,Shumskogo,RGI50-13.05504,2.82,62.0,,80.23,45.08
93,Brandner,RGI50-11.00408,1.84,20.0,,9.7003,47.0586
97,Gr. Gosau,RGI50-11.00003,1.33,29.0,80.0,13.6,47.48
99,Guslar Gr.,RGI50-11.00779,1.76,49.0,,10.8,46.85
108,Zmuttgletscher,RGI50-11.02755,16.98,79.0,,7.63,46.0
110,Antoniabreen,RGI50-07.00229,32.0,125.0,350.0,14.3,77.48
112,Bogerbreen,RGI50-07.01132,4.5,67.0,145.0,15.6254,78.1316
114,Vestre Brøggerbreen,RGI50-07.00503,5.6,43.0,95.0,11.7267,78.911
118,Midre Lovenbreen,RGI50-07.00493,5.8,64.0,150.0,12.07,78.88
119,Märjelenbreen,RGI50-07.00232,6.4,73.0,120.0,15.4583,77.4474
123,Finsterwalderbr,RGI50-07.00231,38.0,74.0,175.0,15.25,77.483
126,Borebreen,RGI50-07.00464,120.0,111.0,185.0,13.9,78.4417
130,Vestgötabreen,RGI50-07.00312,12.6,100.0,145.0,12.9026,78.462
132,Hydrografbreen,RGI50-07.00311,12.8,63.0,110.0,12.7506,78.4552
136,Idabreen,RGI50-07.00775,11.4,68.0,100.0,12.2719,79.59899999999998
139,Løvliebreen,RGI50-07.00305,11.0,99.0,165.0,13.0411,78.4754
147,Sveabreen,RGI50-07.00474,174.0,49.0,140.0,13.6135,78.6945
153,Hansbreen,RGI50-07.00240,72.0,165.0,330.0,15.6384,77.0629
195,Comfortlessbreen,RGI50-07.00511,56.4,175.0,300.0,12.1302,78.7649
200,Upper Fremont,RGI50-02.13921,1.52,77.0,172.0,-109.6161,43.1311
202,Black Rapids,RGI50-01.00037,246.0,235.0,603.0,-146.5,63.48
205,Kvitoeyjoekulen,RGI50-07.01394,705.0,200.0,,32.6258,80.2139
213,Kleinfleisskees,RGI50-11.00251,1.26,42.0,153.0,12.95,47.05
215,Oberes Wurtenkees,RGI50-11.00306,0.46,13.0,40.0,13.0148,47.0344
216,Unteres Wurtenkees,RGI50-11.00300,0.38,40.0,79.0,13.0061,47.0385
221,Gurenhekou,RGI50-13.28839,1.4,36.0,121.0,90.7708,30.3156
239,Weissseeferner,RGI50-11.00770,2.697,31.0,80.0,10.72,46.85
